WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,ConvDF,Lat,Long,WEEK,MONTH,YEAR
AB/09-27-093-10W4/0,SYNCRUDE 043N01 9-27-93-10,497130,0Y80,Boart Longyear Canada,47,14 Jan 2021 06:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-14,27093104,27093104,57.09725542,-111.5082348,2,1,2021.0
AA/05-35-093-10W4/0,SYNCRUDE 023N01 5-35-93-10,497073,A1YG,Big Country Drilling Ltd.,6,14 Jan 2021 07:15:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-14,35093104,35093104,57.11168027,-111.4813806,2,1,2021.0
02/01-31-094-05W4/0,SUNCOR QW24 FIREBAG 1-31-94-5,498866,0Y52,Precision Drilling Corporation,117,13 Jan 2021 10:26:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2021-01-14,31094054,31094054,57.19890501,-110.7839127,2,1,2021.0
03/15-35-034-08W4/0,TAC 13-35 HZ 103 PROVOST 15-35-34-8,499378,0GE9,Tempco Drilling Company Inc.,5,05 Feb 2021 07:15:00 PM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2021-02-06,35034084,35034084,51.96184194,-111.0209957,5,2,2021.0
00/05-25-049-13W5/0,MANCAL HZ PEMBINA 5-25-49-13,499235,A0KC,Horizon Drilling Inc.,50,05 Feb 2021 10:30:00 PM,Drayton Valley,0YT7,Mancal Energy Inc.,,Drill To LD,2021-02-06,25049135,25049135,53.25791656,-115.7570184,5,2,2021.0
00/04-21-056-24W5/0,PEYTO WILD RIV 4-21-56-24,497738,0Z41,Ensign Drilling Inc.,T401,06 Feb 2021 07:00:00 AM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2021-02-06,21056245,21056245,53.85379388,-117.4948249,5,2,2021.0
00/16-13-063-24W4/0,RHE 100 ROCHSTR 16-13-63-24,499122,A57H,Predator Drilling Inc.,27,06 Feb 2021 11:00:00 AM,St. Albert,A6W2,Rolling Hills Energy Ltd.,,Set Surface,2021-02-06,13063244,13063244,54.44901923,-113.4840094,5,2,2021.0
02/16-15-064-06W6/0,7GEN HZ 102 KAKWA 16-15-64-6,498928,A6GJ,Dc Drilling Inc.,1E,06 Feb 2021 08:30:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Resumption,2021-02-06,15064066,15064066,54.53806561,-118.8058884,5,2,2021.0
03/09-33-076-13W6/0,AVN 103 HZ PCOUPES 9-33-76-13,499360,A0KC,Horizon Drilling Inc.,30,05 Feb 2021 11:15:00 PM,Grande Prairie,0TD9,Advantage Oil & Gas Ltd.,,Drill To LD,2021-02-06,33076136,33076136,55.62858077,-119.939754,5,2,2021.0
00/08-09-077-06W5/0,SPL 16-33 HZ NIPISI 8-9-77-6,498528,0GE9,Tempco Drilling Company Inc.,7,05 Feb 2021 06:00:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2021-02-06,9077065,9077065,55.65755009,-114.8552424,5,2,2021.0
AB/08-05-093-09W4/0,SYNCRUDE 136N01 8-5-93-9,497152,0Y80,Boart Longyear Canada,32,05 Feb 2021 11:30:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-02-06,5093094,5093094,57.03905993,-111.400909,5,2,2021.0
AB/14-05-093-09W4/0,SYNCRUDE 129N01 14-5-93-9,497145,0Y80,Boart Longyear Canada,41,05 Feb 2021 09:00:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-02-06,5093094,5093094,57.03905993,-111.400909,5,2,2021.0
AB/07-06-093-09W4/0,SYNCRUDE 139N01 7-6-93-9,497155,0Y80,Boart Longyear Canada,37,06 Feb 2021 11:45:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-02-06,6093094,6093094,57.03905152,-111.4277344,5,2,2021.0
AB/12-09-093-09W4/0,SYNCRUDE 116N01 12-9-93-9,497123,0Y80,Boart Longyear Canada,47,06 Feb 2021 07:00:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-02-06,9093094,9093094,57.05351332,-111.3740828,5,2,2021.0
AA/03-01-097-07W4/0,IMP KGR21_545 3-1-97-7,499110,A1YG,Big Country Drilling Ltd.,16,05 Feb 2021 12:00:00 AM,Bonnyville,0007,Imperial Oil Resources Limited,,Set Surface,2021-02-06,1097074,1097074,57.38812096,-110.9818139,5,2,2021.0
00/10-28-015-14W4/0,TXNE 9A-34 HZ ALDSON 10-28-15-14,498860,A1TW,Bonanza Drilling Inc.,6,19 Jan 2021 04:30:00 PM,Medicine Hat,A7NW,Torxen Energy Ltd.,,Drill To LD,2021-01-19,28015144,28015144,50.28824352,-111.8605774,3,1,2021.0
00/03-04-036-08W4/0,KARVE HZ PROVOST 3-4-36-8,498887,0Y26,Terroco Drilling Company,8,18 Jan 2021 10:00:00 PM,Wainwright,A7BT,Karve Energy Inc.,,Resumption,2021-01-19,4036084,4036084,52.0630441,-111.0764399,3,1,2021.0
00/12-16-050-13W5/0,VEI HZ WESTPEM 12-16-50-13,498822,A2EN,Ironhand Drilling Inc.,7,18 Jan 2021 07:00:00 PM,Drayton Valley,A6FW,Vermilion Energy Inc.,,Drill To LD,2021-01-19,16050135,16050135,53.31614223,-115.8302053,3,1,2021.0
05/14-18-058-05W4/0,CNRL 14A LIND 14-18-58-5,498179,0Z41,Ensign Drilling Inc.,218,18 Jan 2021 06:00:00 PM,Bonnyville,0HE9,Canadian Natural Resources Limited,,Drill To LD,2021-01-19,18058054,18058054,54.01332889,-110.7229605,3,1,2021.0
00/08-15-066-05W6/0,PARA HZ KARR 8-15-66-5,495189,A08C,Savanna Drilling Corp.,689,19 Jan 2021 08:35:00 AM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Set Surface,2021-01-19,15066056,15066056,54.71259132,-118.654949,3,1,2021.0
00/10-33-068-04W4/3,CNRL OBS PS72 RE FISHER 10-33-68-4,197878,A272,Xtreme Drilling and Coil Services Corp.,602,17 Jan 2021 11:30:00 AM,Bonnyville,0HE9,Canadian Natural Resources Limited,,Re-entry,2021-01-19,33068044,33068044,54.92958137,-110.5396101,3,1,2021.0
