WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long,ï»¿WELL ID
00/13-30-072-09W6/0,ECA HZ WEMBLEY 13-30-72-9,497486,0Y52,Precision Drilling Corporation,535,05 Feb 2020 11:15:00 PM,Grande Prairie,0026,Ovintiv Canada ULC,,Drill To LD,2020-02-06,30072096,6,2,2020.0,30072096,55.26515219,-119.3591485,
00/16-02-074-25W4/0,SPL 15-35 HZ MARTENH 16-2-74-25,495267,0Y52,Precision Drilling Corporation,116,06 Feb 2020 05:00:00 AM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2020-02-06,2074254,6,2,2020.0,2074254,55.38094403,-113.724657,
AC/05-14-077-06W4/0,CVE B5 HARDY 5-14-77-6,495628,0Y52,Precision Drilling Corporation,133,05 Feb 2020 07:50:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2020-02-06,14077064,6,2,2020.0,14077064,55.6718118,-110.80802,
02/15-14-078-07W6/0,TOURMALINE HZ102 VALHALLA 15-14-78-7,497370,0Y52,Precision Drilling Corporation,541,05 Feb 2020 07:30:00 PM,Grande Prairie,A573,Tourmaline Oil Corp.,,Drill To LD,2020-02-06,14078076,6,2,2020.0,14078076,55.75940924,-118.9572795,
00/08-13-084-10W4/0,SUNCOR ET AL HANGSTN 8-13-84-10,496972,A7HY,Earth Drilling Co. Ltd.,46,06 Feb 2020 03:00:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-02-06,13084104,6,2,2020.0,13084104,56.28272015,-111.4282307,
AB/15-01-084-11W4/0,JACOS HANGSTN 15-1-84-11,496585,A278,EUB-New Rig Drilling Contractor,1,05 Feb 2020 08:30:00 PM,Bonnyville,0NY5,Japan Canada Oil Sands Limited,,Drill To LD,2020-02-06,1084114,6,2,2020.0,1084114,56.25364758,-111.5862225,
00/06-23-091-10W4/0,SUNCOR VS19-GL001-MR1-VW 6-23-91-10,496715,A57H,Predator Drilling Inc.,1,06 Feb 2020 11:00:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Drill To LD,2020-02-06,23091104,6,2,2020.0,23091104,56.90808535,-111.4813893,
00/05-10-092-08W4/0,SUNCOR OB LEWIS 5-10-92-8,497245,A57H,Predator Drilling Inc.,2,06 Feb 2020 04:00:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-02-06,10092084,6,2,2020.0,10092084,56.96626422,-111.1863265,
AA/08-29-092-08W4/0,SUNCOR LEWIS 8-29-92-8,497305,0ZF6,McAllister Water Well Drilling Ltd.,1,06 Feb 2020 09:30:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-02-06,29092084,6,2,2020.0,29092084,57.00997445,-111.2399573,
AA/10-29-092-08W4/0,SUNCOR LEWIS 10-29-92-8,497289,0ZF6,McAllister Water Well Drilling Ltd.,1,06 Feb 2020 02:30:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-02-06,29092084,6,2,2020.0,29092084,57.00997445,-111.2399573,
02/15-13-040-07W4/0,LONGSHORE HZ 102 PROVOST 15-13-40-7,498556,0GE9,Tempco Drilling Company Inc.,3,26 Oct 2020 02:45:00 PM,Wainwright,A76W,Longshore Resources Ltd.,,Drill To LD,2020-10-26,13040074,44,10,2020.0,13040074,52.44126189999999,-110.8688144,
00/01-01-076-12W6/0,AVN HZ PCOUPES 1-1-76-12,496463,A0KC,Horizon Drilling Inc.,30,25 Oct 2020 07:30:00 PM,Grande Prairie,0TD9,Advantage Oil & Gas Ltd.,,Drill To LD,2020-10-26,1076126,44,10,2020.0,1076126,55.55596702,-119.7069857,
03/12-19-035-04W4/0,KARVE 103 HZ PROVOST 12-19-35-4,498299,0GE9,Tempco Drilling Company Inc.,5,04 Oct 2020 06:00:00 PM,Wainwright,A7BT,Karve Energy Inc.,,Resumption,2020-10-05,19035044,41,10,2020.0,19035044,52.01914293,-110.5527394,
00/02-36-046-16W5/0,TOURMALINE HZ PECO 2-36-46-16,498174,0Z41,Ensign Drilling Inc.,T38,05 Oct 2020 11:45:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2020-10-05,36046165,41,10,2020.0,36046165,53.01068443,-116.1775913,
02/13-14-074-25W4/0,DELTASTREAM MARTENH 13-14-74-25,498317,A2CL,Komat Drilling Ltd.,3,05 Oct 2020 06:30:00 AM,St. Albert,A6YA,Deltastream Energy Corporation,,Set Surface,2020-10-05,14074254,41,10,2020.0,14074254,55.41003099,-113.7246576,
